Year,Wins,Loss,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
1986,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1987,46,36,31,10,15,26,0.756097561,0.365853659,0.56097561
1988,45,37,31,10,14,27,0.756097561,0.341463415,0.548780488
1989,41,41,31,10,10,31,0.756097561,0.243902439,0.5
1990,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
1991,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1992,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1993,58,24,35,6,23,18,0.853658537,0.56097561,0.707317073
1994,47,35,25,16,22,19,0.609756098,0.536585366,0.573170732
1995,48,34,27,14,21,20,0.658536585,0.512195122,0.585365854
1996,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
1997,41,41,24,17,17,24,0.585365854,0.414634146,0.5
1998,31,19,19,6,12,13,0.76,0.48,0.62
1999,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2000,45,37,24,17,21,20,0.585365854,0.512195122,0.548780488
2001,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2002,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
2003,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2004,51,31,26,15,25,16,0.634146341,0.609756098,0.62195122
2005,34,48,15,26,19,22,0.365853659,0.463414634,0.414634146
2006,52,30,28,13,24,17,0.682926829,0.585365854,0.634146341
2007,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
2008,53,29,33,8,20,21,0.804878049,0.487804878,0.646341463
2009,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
2010,43,39,25,16,18,23,0.609756098,0.43902439,0.524390244
1976,36,46,25,16,11,30,0.609756098,0.268292683,0.43902439
1977,31,51,21,20,10,31,0.512195122,0.243902439,0.37804878
1978,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1979,37,45,26,15,11,30,0.634146341,0.268292683,0.451219512
1980,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
1981,35,47,25,16,10,31,0.609756098,0.243902439,0.426829268
1982,20,62,14,27,6,35,0.341463415,0.146341463,0.243902439
1983,26,56,20,21,6,35,0.487804878,0.146341463,0.317073171
1984,22,60,16,25,6,35,0.390243902,0.146341463,0.268292683
1985,26,56,19,22,7,34,0.463414634,0.170731707,0.317073171
1986,41,41,28,13,13,28,0.682926829,0.317073171,0.5
1987,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1988,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1989,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1990,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1991,40,42,26,15,14,27,0.634146341,0.341463415,0.487804878
1992,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
1994,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
1995,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1996,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
1997,58,24,32,9,26,15,0.780487805,0.634146341,0.707317073
1998,33,17,18,7,15,10,0.72,0.6,0.66
1999,56,26,36,5,20,21,0.87804878,0.487804878,0.682926829
2000,41,41,26,15,15,26,0.634146341,0.365853659,0.5
2001,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2002,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
2003,61,21,34,7,27,14,0.829268293,0.658536585,0.743902439
2004,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
2005,41,41,27,14,14,27,0.658536585,0.341463415,0.5
2006,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
2007,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
2008,36,46,25,16,11,30,0.609756098,0.268292683,0.43902439
2009,32,50,23,18,9,32,0.56097561,0.219512195,0.390243902
2010,37,45,24,17,13,28,0.585365854,0.317073171,0.451219512
1950,31,37,19,12,10,24,0.612903226,0.294117647,0.455882353
1951,34,32,25,6,4,24,0.806451613,0.142857143,0.515151515
1952,28,43,19,14,4,23,0.575757576,0.148148148,0.394366197
1976,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1977,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
1978,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
1979,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1980,40,42,24,17,16,25,0.585365854,0.390243902,0.487804878
1981,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
1982,45,37,30,11,15,26,0.731707317,0.365853659,0.548780488
1983,38,44,26,15,12,29,0.634146341,0.292682927,0.463414634
1984,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1972,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
1973,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
1974,44,38,29,12,15,26,0.707317073,0.365853659,0.536585366
1975,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1984,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
1985,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
1986,12,70,9,32,3,38,0.219512195,0.073170732,0.146341463
1987,17,65,14,27,3,38,0.341463415,0.073170732,0.207317073
1988,21,61,17,24,4,37,0.414634146,0.097560976,0.256097561
1989,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1990,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1991,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1992,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,27,55,17,24,10,31,0.414634146,0.243902439,0.329268293
1994,17,65,13,28,4,37,0.317073171,0.097560976,0.207317073
1995,29,53,19,22,10,31,0.463414634,0.243902439,0.353658537
1996,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
1997,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
1998,9,41,6,19,3,22,0.24,0.12,0.18
1999,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
2000,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
2001,39,43,25,16,14,27,0.609756098,0.341463415,0.475609756
2002,27,55,16,25,11,30,0.390243902,0.268292683,0.329268293
2003,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2004,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
2005,47,35,27,14,20,21,0.658536585,0.487804878,0.573170732
2006,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2007,23,59,13,28,10,31,0.317073171,0.243902439,0.280487805
2008,19,63,11,30,8,33,0.268292683,0.195121951,0.231707317
2009,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
2010,32,50,23,18,9,32,0.56097561,0.219512195,0.390243902
1960,36,43,16,12,6,20,0.571428571,0.230769231,0.455696203
1961,54,26,26,5,18,13,0.838709677,0.580645161,0.675
1962,53,27,27,7,20,17,0.794117647,0.540540541,0.6625
1963,42,38,24,12,15,21,0.666666667,0.416666667,0.525
1964,49,31,25,13,21,16,0.657894737,0.567567568,0.6125
1965,45,35,28,11,13,21,0.717948718,0.382352941,0.5625
1966,36,45,21,18,12,20,0.538461538,0.375,0.444444444
1967,52,30,30,11,18,19,0.731707317,0.486486486,0.634146341
1968,55,27,32,9,21,18,0.780487805,0.538461538,0.670731707
1969,46,36,27,14,17,21,0.658536585,0.447368421,0.56097561
1970,48,34,30,11,17,22,0.731707317,0.435897436,0.585365854
1971,69,13,36,5,31,7,0.87804878,0.815789474,0.841463415
1972,60,22,30,11,28,11,0.731707317,0.717948718,0.731707317
1973,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1974,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1975,40,42,31,10,9,32,0.756097561,0.219512195,0.487804878
1976,53,29,37,4,16,25,0.902439024,0.390243902,0.646341463
1977,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1978,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1979,60,22,37,4,23,18,0.902439024,0.56097561,0.731707317
1980,54,28,30,11,24,17,0.731707317,0.585365854,0.658536585
1981,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
1982,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
1983,54,28,28,13,26,15,0.682926829,0.634146341,0.658536585
1984,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1985,62,20,35,6,27,14,0.853658537,0.658536585,0.756097561
1986,65,17,37,4,28,13,0.902439024,0.682926829,0.792682927
1987,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1988,57,25,35,6,22,19,0.853658537,0.536585366,0.695121951
1989,63,19,37,4,26,15,0.902439024,0.634146341,0.768292683
1990,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
1991,43,39,24,17,19,22,0.585365854,0.463414634,0.524390244
1992,39,43,20,21,19,22,0.487804878,0.463414634,0.475609756
1993,33,49,21,20,12,29,0.512195122,0.292682927,0.402439024
1994,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1995,53,29,30,11,23,18,0.731707317,0.56097561,0.646341463
1996,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
1997,61,21,33,8,28,13,0.804878049,0.682926829,0.743902439
1998,31,19,18,7,13,12,0.72,0.52,0.62
1999,67,15,36,5,31,10,0.87804878,0.756097561,0.817073171
2000,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
2001,58,24,34,7,24,17,0.829268293,0.585365854,0.707317073
2002,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2003,56,26,34,7,22,19,0.829268293,0.536585366,0.682926829
2004,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2005,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2006,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2007,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2008,65,17,36,5,29,12,0.87804878,0.707317073,0.792682927
2009,57,25,34,7,23,18,0.829268293,0.56097561,0.695121951
2010,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2001,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
2002,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
2003,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2004,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
2005,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
2006,22,60,14,27,8,33,0.341463415,0.195121951,0.268292683
2007,22,60,14,27,8,33,0.341463415,0.195121951,0.268292683
2008,24,58,16,25,8,33,0.390243902,0.195121951,0.292682927
2009,40,42,23,18,17,24,0.56097561,0.414634146,0.487804878
2010,46,36,30,11,16,25,0.731707317,0.390243902,0.56097561
1988,15,67,12,29,3,38,0.292682927,0.073170732,0.182926829
1989,18,64,11,30,7,34,0.268292683,0.170731707,0.219512195
1990,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1991,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1992,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
1993,42,40,22,19,20,21,0.536585366,0.487804878,0.512195122
1994,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
1995,42,40,26,15,16,25,0.634146341,0.390243902,0.512195122
1996,61,21,29,12,32,9,0.707317073,0.780487805,0.743902439
1997,55,27,30,11,25,16,0.731707317,0.609756098,0.670731707
1998,33,17,18,7,15,10,0.72,0.6,0.66
1999,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
2000,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
2001,36,46,18,23,18,23,0.43902439,0.43902439,0.43902439
2002,25,57,16,25,9,32,0.390243902,0.219512195,0.304878049
2003,42,40,29,12,13,28,0.707317073,0.317073171,0.512195122
2004,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
2005,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
2006,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
2007,15,67,9,32,6,35,0.219512195,0.146341463,0.182926829
2008,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
2009,47,35,24,17,23,18,0.585365854,0.56097561,0.573170732
2010,58,24,30,11,28,13,0.731707317,0.682926829,0.707317073
1968,27,55,15,19,8,27,0.441176471,0.228571429,0.329268293
1969,56,26,27,11,24,14,0.710526316,0.631578947,0.682926829
1970,66,16,34,2,28,13,0.944444444,0.682926829,0.804878049
1971,63,19,31,5,27,12,0.861111111,0.692307692,0.768292683
1972,60,22,33,5,25,15,0.868421053,0.625,0.731707317
1973,59,23,31,7,24,16,0.815789474,0.6,0.719512195
1974,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1975,38,44,22,19,16,25,0.536585366,0.390243902,0.463414634
1976,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1977,44,38,28,13,16,25,0.682926829,0.390243902,0.536585366
1978,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1979,49,33,28,13,21,20,0.682926829,0.512195122,0.597560976
1980,60,22,34,7,26,15,0.829268293,0.634146341,0.731707317
1981,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1982,51,31,31,10,20,21,0.756097561,0.487804878,0.62195122
1983,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
1984,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1985,57,25,33,8,24,17,0.804878049,0.585365854,0.695121951
1986,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1987,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
1988,49,33,31,10,18,23,0.756097561,0.43902439,0.597560976
1989,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
1990,48,34,33,8,15,26,0.804878049,0.365853659,0.585365854
1991,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1992,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
1993,20,62,11,30,9,32,0.268292683,0.219512195,0.243902439
1994,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1995,25,57,14,27,11,30,0.341463415,0.268292683,0.304878049
1996,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
1997,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
1998,28,22,17,8,11,14,0.68,0.44,0.56
1999,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
2000,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
2001,41,41,25,16,16,25,0.609756098,0.390243902,0.5
2002,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2003,41,41,27,14,14,27,0.658536585,0.341463415,0.5
2004,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
2005,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2006,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2007,26,56,19,22,7,34,0.463414634,0.170731707,0.317073171
2008,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2009,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
2010,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
1951,17,49,7,13,3,22,0.35,0.12,0.257575758
1952,27,44,14,8,4,24,0.636363636,0.142857143,0.38028169
1953,21,51,10,14,6,17,0.416666667,0.260869565,0.291666667
1954,26,46,6,11,9,16,0.352941176,0.36,0.361111111
1950,44,24,29,3,12,21,0.90625,0.363636364,0.647058824
1951,40,26,21,5,13,19,0.807692308,0.40625,0.606060606
1952,48,22,24,2,16,15,0.923076923,0.516129032,0.685714286
1953,46,26,21,4,13,15,0.84,0.464285714,0.638888889
1954,40,32,18,6,10,14,0.75,0.416666667,0.555555556
1955,33,39,13,12,6,21,0.52,0.222222222,0.458333333
1956,34,38,18,13,9,22,0.580645161,0.290322581,0.472222222
1957,19,53,13,17,4,22,0.433333333,0.153846154,0.263888889
1958,33,39,15,7,9,17,0.681818182,0.346153846,0.458333333
1959,25,50,9,13,9,22,0.409090909,0.290322581,0.333333333
1989,22,60,17,24,5,36,0.414634146,0.12195122,0.268292683
1990,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1991,15,67,9,32,6,35,0.219512195,0.146341463,0.182926829
1992,19,63,18,23,1,40,0.43902439,0.024390244,0.231707317
1993,20,62,13,28,7,34,0.317073171,0.170731707,0.243902439
1994,21,61,13,28,8,33,0.317073171,0.195121951,0.256097561
1995,26,56,17,24,9,32,0.414634146,0.219512195,0.317073171
1996,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1997,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
1998,25,25,18,7,7,18,0.72,0.28,0.5
1999,50,32,26,15,24,17,0.634146341,0.585365854,0.609756098
2000,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
2001,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
2002,51,31,33,8,18,23,0.804878049,0.43902439,0.62195122
2003,58,24,31,10,27,14,0.756097561,0.658536585,0.707317073
2004,44,38,24,17,20,21,0.585365854,0.487804878,0.536585366
2005,33,49,24,17,9,32,0.585365854,0.219512195,0.402439024
2006,32,50,20,21,12,29,0.487804878,0.292682927,0.390243902
2007,22,60,15,26,7,34,0.365853659,0.170731707,0.268292683
2008,24,58,11,30,13,28,0.268292683,0.317073171,0.292682927
2009,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
2010,17,65,12,29,5,36,0.292682927,0.12195122,0.207317073
1977,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1978,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
1979,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1980,24,58,16,25,8,33,0.390243902,0.195121951,0.292682927
1981,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
1982,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
1983,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1984,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1985,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1986,24,58,19,22,5,36,0.463414634,0.12195122,0.292682927
1987,19,63,16,25,3,38,0.390243902,0.073170732,0.231707317
1988,26,56,17,24,9,32,0.414634146,0.219512195,0.317073171
1989,17,65,13,28,4,37,0.317073171,0.097560976,0.207317073
1990,26,56,20,21,6,35,0.487804878,0.146341463,0.317073171
1991,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1992,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
1993,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1994,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1995,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1996,26,56,16,25,10,31,0.390243902,0.243902439,0.317073171
1997,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
1998,16,34,12,13,4,21,0.48,0.16,0.32
1999,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
2000,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2001,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
2002,49,33,33,8,16,25,0.804878049,0.390243902,0.597560976
2003,47,35,28,13,19,22,0.682926829,0.463414634,0.573170732
2004,42,40,24,17,18,23,0.585365854,0.43902439,0.512195122
2005,49,33,29,12,20,21,0.707317073,0.487804878,0.597560976
2006,41,41,24,17,17,24,0.585365854,0.414634146,0.5
2007,34,48,21,20,13,28,0.512195122,0.317073171,0.414634146
2008,34,48,19,22,15,26,0.463414634,0.365853659,0.414634146
2009,12,70,8,33,4,37,0.195121951,0.097560976,0.146341463
2010,24,58,19,22,5,36,0.463414634,0.12195122,0.292682927
2002,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
2003,41,41,25,16,16,25,0.609756098,0.390243902,0.5
2004,18,64,11,30,7,34,0.268292683,0.170731707,0.219512195
2007,56,26,30,11,26,15,0.731707317,0.634146341,0.682926829
2008,49,33,28,13,21,20,0.682926829,0.512195122,0.597560976
2009,37,45,24,17,13,28,0.585365854,0.317073171,0.451219512
2010,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
1974,23,59,20,21,3,38,0.487804878,0.073170732,0.280487805
1975,38,44,22,19,16,25,0.536585366,0.390243902,0.463414634
1976,35,47,26,15,9,32,0.634146341,0.219512195,0.426829268
1977,39,43,27,14,12,29,0.658536585,0.292682927,0.475609756
1978,26,56,22,19,4,37,0.536585366,0.097560976,0.317073171
1950,36,30,22,5,10,25,0.814814815,0.285714286,0.545454545
1951,37,29,21,4,12,22,0.84,0.352941176,0.560606061
1952,47,23,21,4,15,14,0.84,0.517241379,0.671428571
1953,44,28,18,8,15,13,0.692307692,0.535714286,0.611111111
1954,38,34,17,8,8,19,0.68,0.296296296,0.527777778
1955,35,37,14,14,15,14,0.5,0.517241379,0.486111111
1956,36,36,19,12,11,20,0.612903226,0.35483871,0.5
1957,35,37,16,13,11,19,0.551724138,0.366666667,0.486111111
1958,40,32,21,9,15,15,0.7,0.5,0.555555556
1959,27,48,13,18,9,19,0.419354839,0.321428571,0.36
1960,21,58,10,22,7,25,0.3125,0.21875,0.265822785
1961,29,51,19,14,2,23,0.575757576,0.08,0.3625
1962,21,59,12,22,5,28,0.352941176,0.151515152,0.2625
1963,22,58,10,25,8,27,0.285714286,0.228571429,0.275
1964,31,49,16,19,8,22,0.457142857,0.266666667,0.3875
1965,30,50,20,14,4,30,0.588235294,0.117647059,0.375
1966,36,45,20,15,9,24,0.571428571,0.272727273,0.444444444
1967,43,39,20,17,21,16,0.540540541,0.567567568,0.524390244
1968,54,28,30,7,19,20,0.810810811,0.487179487,0.658536585
1969,60,22,30,11,27,10,0.731707317,0.72972973,0.731707317
1970,52,30,32,9,19,20,0.780487805,0.487179487,0.634146341
1971,48,34,27,14,20,19,0.658536585,0.512820513,0.585365854
1972,57,25,35,6,21,18,0.853658537,0.538461538,0.695121951
1973,49,33,28,13,21,19,0.682926829,0.525,0.597560976
1974,40,42,23,18,17,24,0.56097561,0.414634146,0.487804878
1975,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
1976,40,42,26,15,14,27,0.634146341,0.341463415,0.487804878
1977,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1978,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1979,39,43,25,16,14,27,0.609756098,0.341463415,0.475609756
1980,50,32,28,13,22,19,0.682926829,0.536585366,0.609756098
1981,33,49,19,22,14,27,0.463414634,0.341463415,0.402439024
1982,44,38,26,15,18,23,0.634146341,0.43902439,0.536585366
1983,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
1984,24,58,19,22,5,36,0.463414634,0.12195122,0.292682927
1985,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
1986,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1987,38,44,29,12,9,32,0.707317073,0.219512195,0.463414634
1988,52,30,35,6,17,24,0.853658537,0.414634146,0.634146341
1989,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1990,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
1991,51,31,30,11,21,20,0.731707317,0.512195122,0.62195122
1992,60,22,37,4,23,18,0.902439024,0.56097561,0.731707317
1993,57,25,32,9,25,16,0.780487805,0.609756098,0.695121951
1994,55,27,29,12,26,15,0.707317073,0.634146341,0.670731707
1995,47,35,26,15,21,20,0.634146341,0.512195122,0.573170732
1996,57,25,31,10,26,15,0.756097561,0.634146341,0.695121951
1997,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
1998,27,23,19,6,8,17,0.76,0.32,0.54
1999,50,32,33,8,17,24,0.804878049,0.414634146,0.609756098
2000,48,34,30,11,18,23,0.731707317,0.43902439,0.585365854
2001,30,52,19,22,11,30,0.463414634,0.268292683,0.365853659
2002,37,45,24,17,13,28,0.585365854,0.317073171,0.451219512
2003,39,43,23,18,16,25,0.56097561,0.390243902,0.475609756
2004,33,49,22,19,11,30,0.536585366,0.268292683,0.402439024
2005,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
2006,33,49,19,22,14,27,0.463414634,0.341463415,0.402439024
2007,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
2008,32,50,20,21,12,29,0.487804878,0.292682927,0.390243902
2009,29,53,18,23,11,30,0.43902439,0.268292683,0.353658537
2010,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
1976,22,60,10,31,12,29,0.243902439,0.292682927,0.268292683
2008,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
2009,50,32,27,14,23,18,0.658536585,0.56097561,0.609756098
2010,55,27,30,11,25,16,0.731707317,0.609756098,0.670731707
1989,18,64,12,29,6,35,0.292682927,0.146341463,0.219512195
1990,31,51,24,17,7,34,0.585365854,0.170731707,0.37804878
1991,21,61,13,28,8,33,0.317073171,0.195121951,0.256097561
1992,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
1994,57,25,39,2,18,23,0.951219512,0.43902439,0.695121951
1995,60,22,37,4,23,18,0.902439024,0.56097561,0.731707317
1996,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
1997,41,41,24,17,17,24,0.585365854,0.414634146,0.5
1998,33,17,21,4,12,13,0.84,0.48,0.66
1999,41,41,26,15,15,26,0.634146341,0.365853659,0.5
2000,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
2001,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
2002,42,40,26,15,16,25,0.634146341,0.390243902,0.512195122
2003,21,61,11,30,10,31,0.268292683,0.243902439,0.256097561
2004,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
2005,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
2006,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2007,52,30,25,16,27,14,0.609756098,0.658536585,0.634146341
2008,59,23,32,9,27,14,0.780487805,0.658536585,0.719512195
2009,59,23,34,7,25,16,0.829268293,0.609756098,0.719512195
2010,52,30,29,12,23,18,0.707317073,0.56097561,0.634146341
1963,34,46,18,12,12,22,0.6,0.352941176,0.425
1964,40,40,13,12,9,21,0.52,0.3,0.5
1965,55,25,22,3,20,17,0.88,0.540540541,0.6875
1966,68,13,28,2,26,8,0.933333333,0.764705882,0.839506173
1967,62,20,27,8,25,12,0.771428571,0.675675676,0.756097561
1968,55,27,26,8,24,16,0.764705882,0.6,0.670731707
1969,42,40,22,16,16,22,0.578947368,0.421052632,0.512195122
1970,47,35,24,15,21,18,0.615384615,0.538461538,0.573170732
1971,30,52,14,23,14,26,0.378378378,0.35,0.365853659
1972,9,73,2,26,5,36,0.071428571,0.12195122,0.109756098
1973,25,57,14,23,9,30,0.378378378,0.230769231,0.304878049
1974,34,48,20,21,14,27,0.487804878,0.341463415,0.414634146
1975,46,36,34,7,12,29,0.829268293,0.292682927,0.56097561
1976,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1977,55,27,37,4,18,23,0.902439024,0.43902439,0.670731707
1978,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1979,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1980,62,20,37,4,25,16,0.902439024,0.609756098,0.756097561
1981,58,24,32,9,26,15,0.780487805,0.634146341,0.707317073
1982,65,17,35,6,30,11,0.853658537,0.731707317,0.792682927
1983,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1984,58,24,34,7,24,17,0.829268293,0.585365854,0.707317073
1985,54,28,31,10,23,18,0.756097561,0.56097561,0.658536585
1986,45,37,28,13,17,24,0.682926829,0.414634146,0.548780488
1987,36,46,27,14,9,32,0.658536585,0.219512195,0.43902439
1988,46,36,30,11,16,25,0.731707317,0.390243902,0.56097561
1989,53,29,34,7,19,22,0.829268293,0.463414634,0.646341463
1990,44,38,29,12,15,26,0.707317073,0.365853659,0.536585366
